iter	Passed	Remaining
0	96	96874
1	97	48680
2	98	32595
3	98	24552
4	99	19750
5	99	16528
6	100	14225
7	100	12495
8	101	11151
9	101	10074
10	102	9194
11	102	8461
12	103	7840
13	103	7313
14	104	6866
15	105	6462
16	105	6107
17	106	5790
18	106	5506
19	107	5250
20	107	5019
21	108	4809
22	108	4618
23	109	4442
24	109	4281
25	110	4134
26	110	3997
27	111	3869
28	112	3750
29	112	3637
30	113	3532
31	113	3434
32	114	3342
33	114	3256
34	115	3175
35	115	3098
36	116	3028
37	116	2961
38	117	2905
39	118	2842
40	118	2783
41	119	2727
42	120	2673
43	120	2621
44	121	2572
45	122	2531
46	122	2487
47	123	2445
48	123	2403
49	124	2364
50	125	2326
51	125	2291
52	126	2255
53	126	2221
54	127	2187
55	128	2163
56	129	2136
57	129	2105
58	130	2078
59	130	2049
60	131	2021
61	131	1994
62	132	1967
63	132	1942
64	133	1917
65	133	1894
66	134	1873
67	135	1854
68	135	1833
69	136	1813
70	136	1792
71	137	1772
72	138	1752
73	138	1733
74	139	1715
75	139	1697
76	140	1679
77	140	1663
78	141	1646
79	141	1629
80	142	1613
81	142	1597
82	142	1579
83	143	1564
84	143	1549
85	144	1535
86	144	1521
87	145	1507
88	145	1494
89	146	1481
90	147	1469
91	147	1458
92	148	1446
93	148	1435
94	149	1424
95	150	1412
96	150	1401
97	151	1390
98	151	1379
99	152	1369
100	152	1359
101	153	1349
102	153	1339
103	154	1329
104	154	1319
105	155	1310
106	155	1301
107	156	1291
108	156	1282
109	157	1273
110	157	1265
111	158	1256
112	159	1248
113	159	1242
114	161	1241
115	161	1233
116	162	1225
117	162	1217
118	163	1210
119	164	1203
120	164	1195
121	165	1188
122	166	1184
123	166	1177
124	167	1171
125	167	1164
126	168	1157
127	168	1150
128	169	1143
129	169	1137
130	170	1130
131	170	1124
132	171	1118
133	172	1115
134	173	1111
135	174	1106
136	174	1101
137	175	1095
138	176	1090
139	176	1084
140	177	1079
141	177	1072
142	178	1067
143	178	1062
144	179	1056
145	179	1051
146	180	1045
147	180	1040
148	181	1035
149	181	1030
150	182	1025
151	183	1021
152	183	1016
153	184	1011
154	184	1007
155	185	1002
156	185	998
157	186	993
158	187	989
159	187	985
160	188	980
161	188	975
162	189	971
163	189	966
164	190	963
165	190	959
166	191	955
167	192	952
168	192	948
169	193	944
170	193	940
171	194	936
172	195	932
173	195	928
174	196	927
175	197	924
176	198	922
177	199	919
178	199	915
179	200	912
180	200	908
181	201	904
182	201	901
183	202	898
184	203	895
185	204	892
186	204	889
187	205	886
188	205	883
189	206	880
190	207	877
191	207	874
192	208	871
193	209	868
194	209	865
195	210	862
196	210	859
197	211	856
198	211	853
199	212	849
200	213	846
201	213	843
202	214	840
203	214	837
204	215	834
205	215	831
206	216	829
207	217	826
208	217	823
209	218	821
210	218	818
211	219	815
212	219	812
213	220	809
214	221	807
215	221	805
216	222	802
217	222	799
218	223	796
219	223	793
220	224	791
221	225	788
222	225	785
223	226	783
224	226	780
225	227	779
226	228	776
227	228	774
228	229	772
229	230	770
230	230	768
231	231	765
232	231	763
233	232	760
234	233	758
235	233	757
236	234	754
237	235	752
238	235	750
239	236	748
240	236	745
241	237	743
242	237	741
243	238	739
244	239	736
245	239	735
246	240	733
247	241	731
248	241	729
249	242	726
250	242	724
251	243	722
252	243	720
253	244	717
254	245	716
255	245	713
256	246	712
257	247	711
258	247	709
259	248	707
260	249	705
261	249	703
262	250	701
263	250	699
264	251	697
265	251	695
266	252	693
267	253	691
268	253	689
269	254	687
270	254	685
271	255	683
272	255	681
273	256	679
274	256	677
275	257	675
276	258	674
277	259	672
278	259	671
279	260	669
280	260	667
281	261	665
282	262	663
283	262	661
284	263	659
285	263	658
286	264	657
287	265	656
288	266	655
289	266	653
290	267	651
291	267	649
292	268	647
293	269	646
294	269	644
295	270	642
296	270	641
297	271	639
298	272	637
299	272	636
300	273	634
301	273	632
302	274	630
303	274	629
304	275	627
305	275	625
306	276	623
307	276	622
308	277	620
309	278	619
310	278	617
311	279	616
312	279	614
313	280	612
314	281	611
315	281	609
316	282	607
317	282	606
318	283	605
319	284	603
320	284	602
321	285	600
322	285	598
323	286	597
324	286	595
325	287	594
326	287	592
327	288	590
328	288	589
329	289	587
330	290	586
331	290	584
332	291	583
333	291	581
334	292	580
335	292	578
336	293	577
337	293	575
338	294	574
339	295	572
340	295	571
341	296	569
342	296	568
343	297	566
344	297	565
345	298	563
346	298	562
347	299	560
348	299	559
349	300	557
350	300	556
351	301	554
352	301	553
353	302	551
354	302	550
355	303	549
356	304	547
357	304	546
358	305	544
359	305	543
360	306	542
361	306	540
362	307	539
363	308	538
364	309	538
365	309	536
366	310	535
367	311	534
368	311	532
369	312	531
370	312	530
371	313	529
372	314	528
373	314	526
374	315	525
375	315	524
376	316	522
377	317	521
378	317	520
379	318	519
380	318	517
381	319	516
382	319	515
383	320	513
384	321	512
385	321	511
386	322	510
387	322	509
388	323	507
389	323	506
390	324	505
391	325	504
392	325	502
393	326	501
394	326	500
395	327	499
396	327	498
397	328	496
398	329	495
399	329	494
400	330	493
401	330	492
402	331	490
403	331	489
404	332	488
405	332	487
406	333	485
407	334	484
408	334	483
409	335	482
410	335	481
411	336	480
412	336	478
413	337	477
414	337	476
415	338	475
416	339	473
417	339	472
418	340	471
419	340	470
420	341	469
421	341	468
422	342	467
423	342	465
424	343	464
425	344	463
426	344	462
427	345	461
428	345	460
429	346	459
430	346	457
431	347	456
432	347	455
433	348	454
434	348	453
435	349	452
436	349	450
437	350	449
438	351	448
439	351	447
440	352	446
441	353	445
442	353	444
443	354	443
444	354	442
445	355	441
446	356	440
447	356	439
448	357	438
449	357	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	432
455	361	431
456	361	430
457	362	429
458	363	428
459	363	427
460	364	426
461	365	425
462	365	424
463	366	423
464	366	422
465	367	420
466	367	419
467	368	418
468	368	417
469	369	416
470	370	415
471	370	414
472	371	413
473	371	412
474	372	411
475	372	410
476	373	409
477	373	408
478	374	407
479	374	406
480	375	405
481	375	403
482	376	402
483	377	401
484	377	400
485	378	399
486	378	398
487	379	397
488	379	396
489	380	395
490	380	394
491	381	393
492	381	392
493	382	391
494	383	390
495	383	389
496	384	388
497	384	387
498	385	386
499	385	385
500	386	384
501	386	383
502	387	382
503	387	381
504	388	380
505	388	379
506	389	378
507	389	377
508	390	376
509	391	375
510	391	374
511	392	373
512	392	372
513	393	371
514	393	370
515	394	369
516	394	368
517	395	367
518	395	366
519	396	365
520	396	364
521	397	363
522	397	362
523	398	361
524	398	360
525	399	360
526	400	359
527	400	358
528	401	357
529	401	356
530	402	355
531	402	354
532	403	353
533	403	352
534	404	351
535	404	350
536	405	349
537	406	348
538	406	347
539	407	346
540	407	345
541	408	344
542	408	344
543	409	343
544	409	342
545	410	341
546	410	340
547	411	339
548	411	338
549	412	337
550	412	336
551	413	335
552	414	334
553	414	333
554	415	332
555	415	332
556	416	331
557	416	330
558	417	329
559	417	328
560	418	327
561	418	326
562	419	325
563	420	324
564	420	323
565	421	322
566	421	321
567	422	321
568	422	320
569	423	319
570	423	318
571	424	317
572	424	316
573	425	315
574	425	314
575	426	313
576	427	313
577	427	312
578	428	311
579	428	310
580	429	309
581	429	308
582	430	307
583	430	306
584	431	305
585	431	305
586	432	304
587	432	303
588	433	302
589	433	301
590	434	300
591	434	299
592	435	298
593	435	297
594	436	297
595	437	296
596	437	295
597	438	294
598	438	293
599	439	292
600	439	291
601	440	291
602	440	290
603	441	289
604	441	288
605	442	287
606	442	286
607	443	285
608	444	285
609	444	284
610	445	283
